DataGarrison Station - ID 8388608
Time zone: UTC -420 minutes
Date_Time	Pressure_20290338_mbar	Temperature_20339014_°C	RH_20339014_%	Wind Speed_20339187_km/hr	Gust Speed_20339187_km/hr	Wind Direction_20339187_°	SW-IN_SDI_0_0_W/m^2	SW-OUT_SDI_0_1_W/m^2	LW-IN_SDI_0_2_W/m^2	LW-OUT_SDI_0_3_W/m^2	
08/07/23 07:37:41	813.050	6.585	75.800	1.403	1.403	350.980	26.220	7.390	362.110	358.930
08/07/23 08:00:00	812.950	6.687	77.000	2.105	6.315	331.325	56.950	15.310	316.590	363.420
08/07/23 09:00:00	812.750	7.343	74.700	3.508	7.718	332.729	116.990	29.720	309.350	378.340
08/07/23 10:00:00	812.750	8.792	69.200	2.807	6.315	282.188	157.920	40.580	299.200	391.680
08/07/23 11:00:00	812.250	8.020	68.900	2.807	10.524	315.882	293.360	73.010	287.680	410.810
08/07/23 12:00:00	812.050	10.271	63.600	4.210	12.629	283.592	294.630	74.720	289.760	427.190
08/07/23 13:00:00	811.750	8.742	65.000	6.315	11.928	276.573	313.540	70.160	302.110	429.870
08/07/23 14:00:00	811.550	8.519	65.800	8.420	15.436	263.937	281.890	67.320	312.720	431.820
08/07/23 15:00:00	811.150	9.015	66.800	7.016	14.033	293.420	438.840	104.830	293.580	455.380
08/07/23 16:00:00	810.650	9.139	66.600	5.613	17.541	339.749	212.760	51.310	311.000	424.140
08/07/23 17:00:00	810.250	8.693	63.100	5.613	14.734	8.424	158.480	39.630	284.290	412.050
08/07/23 18:00:00	809.850	11.029	54.500	7.718	19.646	57.561	393.060	102.970	285.380	455.130
08/07/23 19:00:00	809.150	9.262	57.100	6.315	13.331	272.361	104.920	25.260	316.830	410.440
08/07/23 20:00:00	808.950	9.287	55.800	10.524	25.960	2.808	202.750	52.780	315.270	410.050
08/07/23 21:00:00	808.350	8.841	59.200	16.839	28.065	25.271	54.510	14.840	296.630	377.460
08/07/23 22:00:00	808.550	9.064	58.800	7.718	16.839	11.231	3.210	1.600	334.600	371.090
08/07/23 23:00:00	808.050	8.767	60.100	4.911	14.033	314.478	-2.750	0.260	324.410	364.260
08/08/23 00:00:00	807.950	9.287	56.100	7.718	14.033	349.576	-2.390	0.290	334.220	364.120
08/08/23 01:00:00	807.250	8.717	58.600	4.911	10.524	308.863	-2.040	0.320	330.970	361.100
08/08/23 02:00:00	807.450	8.568	60.300	4.911	13.331	287.804	-5.850	-0.290	337.530	358.100
08/08/23 03:00:00	807.050	7.619	66.900	6.315	14.033	348.173	-7.930	0.500	340.020	354.400
08/08/23 04:00:00	806.150	7.142	70.300	11.226	22.452	242.878	-7.620	0.180	329.860	349.460
08/08/23 05:00:00	805.350	7.645	68.400	14.033	18.944	235.859	-0.350	0.020	338.170	352.180
08/08/23 06:00:00	806.450	5.488	83.600	6.315	16.839	26.675	-0.910	1.240	340.660	347.410
08/08/23 07:00:00	805.550	4.792	90.100	12.629	20.347	261.129	5.120	1.580	337.440	345.920
08/08/23 08:00:00	805.650	5.745	90.700	5.613	15.436	130.565	10.010	2.330	337.200	350.960
08/08/23 09:00:00	805.750	6.357	84.700	7.016	14.033	317.286	43.410	9.570	332.300	355.990
08/08/23 10:00:00	805.450	6.712	92.200	8.420	21.049	221.820	142.530	28.440	337.540	374.840
08/08/23 11:00:00	805.450	5.949	89.900	2.807	8.420	342.557	129.000	23.660	344.550	374.270
08/08/23 12:00:00	805.650	5.796	92.400	4.911	8.420	306.055	87.530	16.060	340.920	370.880
08/08/23 13:00:00	805.850	6.306	90.200	2.807	10.524	251.302	190.880	34.730	343.670	381.120
08/08/23 14:00:00	805.750	7.519	94.600	4.911	9.823	287.804	172.520	35.050	345.170	389.340
08/08/23 15:00:00	805.850	7.945	84.900	3.508	11.226	106.698	343.510	77.300	346.070	405.670
