DataGarrison Station - ID 8388608
Time zone: UTC -420 minutes
Date_Time	Pressure_20290338_mbar	Temperature_20339014_°C	RH_20339014_%	Wind Speed_20339187_km/hr	Gust Speed_20339187_km/hr	Wind Direction_20339187_°	SW-IN_SDI_0_0_W/m^2	SW-OUT_SDI_0_1_W/m^2	LW-IN_SDI_0_2_W/m^2	LW-OUT_SDI_0_3_W/m^2	
04/10/24 07:03:03	804.350	-11.111	89.300	0.702	0.702	270.957	0.000	0.000	261.630	269.240
04/10/24 08:00:00	804.350	-10.898	87.900	8.420	12.629	237.263	0.000	0.000	253.770	269.540
04/10/24 09:00:00	804.450	-11.254	88.000	7.016	15.436	266.745	0.000	0.000	213.090	271.310
04/10/24 10:00:00	803.950	-10.863	84.900	11.226	16.138	240.071	0.000	0.000	185.820	273.140
04/10/24 11:00:00	803.750	-9.989	77.200	8.420	16.138	241.475	0.000	0.000	185.880	278.110
04/10/24 12:00:00	803.550	-9.919	76.800	7.016	16.138	290.612	0.000	0.000	197.410	289.520
04/10/24 13:00:00	803.950	-10.266	85.800	5.613	11.928	331.325	0.000	0.000	197.720	286.080
04/10/24 14:00:00	803.650	-9.371	82.700	10.524	18.242	310.267	0.000	0.000	209.460	299.670
04/10/24 15:00:00	803.350	-9.235	82.500	11.928	21.049	310.267	0.000	0.000	203.550	296.190
04/10/24 16:00:00	802.950	-7.869	74.800	4.911	15.436	331.325	0.000	0.000	199.230	306.790
04/10/24 17:00:00	802.550	-8.563	79.100	8.420	15.436	322.902	0.000	0.000	208.250	290.500
04/10/24 18:00:00	802.650	-8.764	82.100	7.016	13.331	306.055	0.000	0.000	204.130	284.190
04/10/24 19:00:00	802.450	-8.297	82.600	10.524	17.541	297.631	0.000	0.000	204.270	279.220
04/10/24 20:00:00	802.450	-8.430	82.300	9.121	17.541	308.863	0.000	0.000	196.310	271.160
04/10/24 21:00:00	802.850	-8.364	82.900	8.420	18.242	299.035	NaN	0.000	189.550	263.370
04/10/24 22:00:00	802.850	-8.663	81.200	4.911	16.839	273.765	NaN	0.000	196.730	265.420
04/10/24 23:00:00	803.150	-8.497	79.400	9.121	15.436	266.745	NaN	0.000	193.010	264.250
04/11/24 00:00:00	803.050	-9.303	80.900	7.718	15.436	270.957	NaN	NaN	188.380	262.170
04/11/24 01:00:00	803.050	-9.303	80.400	11.928	21.751	226.031	NaN	NaN	188.630	258.880
