time,UID,tmp_temp,keller_temp,pressure,mag_x,mag_y,mag_z,imu_x,imu_y,imu_z,tilt_x,tilt_y,tilt_z,tilt_pitch,tilt_roll,ec,wurst_voltage,logger_voltage,logger_pressure,logger_temp,channel_number
2024-11-14 10:48:19,cf240007,-0.046875,-147.2,-15.0,478,254,65502,-1005.126953125,105.712890625,6.8359375,-151,132,-978,-8.700000000000001,7.6000000000000005,1231,3464,3080,1146906719,-12.587292671203613,2
2024-11-14 10:36:36,cf240008,-0.0234375,-147.2,-15.0,352,65487,65301,-991.69921875,-148.92578125,-31.005859375,-29,-85,-995,-1.6,-4.800000000000001,1446,3464,3110,1146906235,-12.511174201965332,2
2024-11-14 09:53:10,cf240002,-0.0703125,-144.65,9.72381591796875,204,75,47,-999.267578125,-27.83203125,38.0859375,23,-21,-998,1.3,-1.2000000000000002,815,3467,3091,1146898865,-11.846909523010254,2
2024-11-14 09:58:12,cf240004,-0.125,-146.25,15.02471923828125,99,222,65328,-1006.591796875,71.533203125,-33.447265625,-54,96,-993,-3.1,5.5,659,3465,3110,1146901396,-11.908635139465332,2
2024-11-14 09:48:10,cf240007,-0.046875,-148.8,-15.0,473,244,65497,-1001.220703125,105.95703125,9.27734375,-151,132,-979,-8.700000000000001,7.6000000000000005,1229,3462,3085,1146899558,-11.749031066894531,2
2024-11-14 09:36:27,cf240008,-0.015625,-147.2,-15.0,363,65494,65302,-989.013671875,-142.08984375,-29.052734375,-29,-85,-995,-1.6,-4.9,1446,3464,3086,1146895721,-11.50976276397705,2
2024-11-14 08:53:01,cf240002,-0.0703125,-144.65,9.72381591796875,207,88,54,-1003.662109375,-33.203125,33.935546875,23,-21,-999,1.3,-1.2000000000000002,813,3467,3091,1146885906,-10.769989967346191,2
2024-11-14 08:58:03,cf240004,-0.125,-146.25,15.025634765625,104,222,65328,-1009.765625,72.021484375,-31.494140625,-55,96,-993,-3.1,5.5,660,3465,3086,1146887644,-10.829741477966309,2
2024-11-14 08:48:00,cf240007,-0.046875,-143.2,-15.0,477,245,65500,-1001.220703125,103.02734375,8.30078125,-152,132,-978,-8.700000000000001,7.6000000000000005,1231,3469,3085,1146892073,-10.7244291305542,2
2024-11-14 08:36:18,cf240008,-0.015625,-147.2,-15.0,358,65484,65305,-990.966796875,-148.92578125,-28.564453125,-29,-85,-995,-1.6,-4.800000000000001,1449,3464,3094,1146889779,-10.582900047302246,2
2024-11-14 07:52:51,cf240002,-0.0703125,-144.65,9.72564697265625,209,80,54,-1002.197265625,-31.494140625,31.73828125,23,-21,-998,1.3,-1.2000000000000002,814,3467,3121,1146884242,-10.0347900390625,2
2024-11-14 07:57:54,cf240004,-0.125,-146.25,15.0274658203125,113,218,65324,-1007.080078125,73.73046875,-27.83203125,-55,96,-993,-3.1,5.5,664,3465,3079,1146883930,-10.078510284423828,2
2024-11-14 07:47:51,cf240007,-0.046875,-143.2,-15.0,473,249,65504,-1002.685546875,106.93359375,10.25390625,-152,132,-978,-8.700000000000001,7.6000000000000005,1234,3469,3093,1146886170,-10.010986328125,2
2024-11-14 07:36:08,cf240008,-0.015625,-144.8,-15.0,353,65489,65302,-995.60546875,-145.5078125,-27.34375,-29,-86,-995,-1.6,-4.9,1449,3467,3104,1146888791,-10.008191108703613,2
2024-11-14 06:52:42,cf240002,-0.0625,-144.65,9.72381591796875,207,85,52,-1005.126953125,-26.3671875,35.64453125,24,-21,-998,1.3,-1.2000000000000002,814,3467,3099,1146888696,-10.309662818908691,2
2024-11-14 06:57:44,cf240004,-0.125,-144.65,15.03021240234375,102,224,65328,-1002.685546875,77.1484375,-22.705078125,-54,96,-993,-3.1,5.5,662,3467,3102,1146889889,-10.253735542297363,2
2024-11-14 06:47:42,cf240007,-0.046875,-148.8,-15.0,477,242,65493,-1000.9765625,106.201171875,10.7421875,-151,132,-978,-8.700000000000001,7.6000000000000005,1231,3462,3100,1146885632,-10.389328956604004,2
2024-11-14 06:35:59,cf240008,-0.015625,-147.2,-15.0,357,65487,65299,-997.314453125,-144.53125,-30.2734375,-29,-86,-995,-1.6,-4.9,1450,3464,3104,1146890683,-10.486865043640137,2
2024-11-14 05:52:33,cf240002,-0.0703125,-144.65,9.72381591796875,209,80,49,-996.337890625,-29.052734375,36.62109375,23,-21,-998,1.3,-1.2000000000000002,814,3467,3098,1146884774,-10.400720596313477,2
2024-11-14 05:57:35,cf240004,-0.125,-146.25,15.025634765625,104,217,65328,-1009.27734375,73.486328125,-31.982421875,-54,96,-993,-3.1,5.5,661,3465,3091,1146882627,-10.4625825881958,2
2024-11-14 05:47:32,cf240007,-0.046875,-151.2,-15.0,477,242,65498,-1003.41796875,104.4921875,4.8828125,-151,132,-978,-8.700000000000001,7.6000000000000005,1230,3459,3103,1146884457,-10.370708465576172,2
2024-11-14 05:35:50,cf240008,-0.015625,-144.8,-15.0,360,65491,65302,-993.408203125,-146.97265625,-33.69140625,-29,-85,-995,-1.6,-4.800000000000001,1451,3467,3100,1146879821,-10.2489595413208,2
2024-11-14 04:52:24,cf240002,-0.0703125,-144.65,9.72381591796875,217,70,49,-997.314453125,-29.052734375,31.25,23,-20,-999,1.3,-1.1,814,3467,3112,1146873976,-9.623161315917969,2
